Rang,Modell,Entwickler,Score,Level
78,Qwen2 57B-A14B Code v1 JA,Alibaba,509998981730.0,High
79,Qwen2 72B Code v1 JA,Alibaba,509998966469.0,High
80,Qwen2.5 0.5B Code v1 JA,Alibaba,509998951208.0,High
81,Qwen2.5 1.5B Code v1 JA,Alibaba,509998940947.0,High
82,Qwen2.5 3B Code v1 JA,Alibaba,509998925686.0,High
83,Qwen2.5 7B Code v1 JA,Alibaba,509998910425.0,High
84,Qwen2.5 14B Code v1 JA,Alibaba,509998895164.0,High
85,Qwen2.5 32B Code v1 JA,Alibaba,509998879903.0,High
86,Qwen2.5 72B Code v1 AR,Alibaba,509998864642.0,High
87,Qwen2.5-Coder 0.5B Code v1 AR,Alibaba,509998854381.0,High
88,Qwen2.5-Coder 1.5B Code v1 AR,Alibaba,509998839120.0,High
89,Qwen2.5-Coder 3B Code v1 AR,Alibaba,509998823859.0,High
90,Qwen2.5-Coder 7B Code v1 AR,Alibaba,509998808598.0,High
91,Qwen2.5-Coder 14B Code v1 AR,Alibaba,509998793337.0,High
92,Qwen2.5-Coder 32B Code v1 AR,Alibaba,509998778076.0,High
93,Qwen3 0.6B Code v1 AR,Alibaba,509998762815.0,High
94,Qwen3 1.7B Code v1 AR,Alibaba,509998752554.0,High
95,Qwen3 4B Code v1 AR,Alibaba,509998737293.0,High
96,Qwen3 8B Code v1 AR,Alibaba,509998722032.0,High
97,Qwen3 14B Code v1 AR,Alibaba,509998706771.0,High
98,Qwen3 30B-A3B Code v1 AR,Alibaba,509998691510.0,High
99,Qwen3 32B Code v1 HI,Alibaba,509998676249.0,High
100,Qwen3 235B-A22B Code v1 HI,Alibaba,509998665988.0,High
101,Qwen3-Coder 30B-A3B Code v1 HI,Alibaba,509998650727.0,High
102,Qwen3-Coder 480B-A35B Code v1 HI,Alibaba,509998635466.0,High
103,Qwen3.5 27B Code v1 HI,Alibaba,509998620205.0,High
104,Qwen3.8 27B Code v1 HI,Alibaba,509998604944.0,High
105,Qwen2.5-Math 1.5B Code v1 HI,Alibaba,509998589683.0,High
106,Qwen2.5-Math 7B Code v1 HI,Alibaba,509998574422.0,High
107,Qwen2.5-Math 72B Code v1 HI,Alibaba,509998564161.0,High
108,Qwen2-VL 2B Code v1 HI,Alibaba,509998548900.0,High
109,Qwen2-VL 7B Code v1 HI,Alibaba,509998533639.0,High
110,Qwen2-VL 72B Code v1 HI,Alibaba,509998518378.0,High
111,Qwen2.5-VL 3B Code v1 HI,Alibaba,509998503117.0,High
112,Qwen2.5-VL 7B Code v1 PT,Alibaba,509998487856.0,High
113,Qwen2.5-VL 32B Code v1 PT,Alibaba,509998472595.0,High
114,Qwen2.5-VL 72B Code v1 PT,Alibaba,509998462334.0,High
115,CodeQwen1.5 7B Code v1 PT,Alibaba,509998447073.0,High
116,Llama 7B Code v1 PT,Meta,509998431812.0,High
117,Llama 13B Code v1 PT,Meta,509998416551.0,High
118,Llama 30B Code v1 PT,Meta,509998401290.0,High
119,Llama 65B Code v1 PT,Meta,509998386029.0,High
120,Llama 2 7B Code v1 PT,Meta,509998375768.0,High
121,Llama 2 13B Code v1 PT,Meta,509998360507.0,High
122,Llama 2 34B Code v1 PT,Meta,509998345246.0,High
123,Llama 2 70B Code v1 PT,Meta,509998329985.0,High
124,Llama 3 8B Code v1 PT,Meta,509998314724.0,High
125,Llama 3 70B Code v1 RU,Meta,509998299463.0,High
126,Llama 3.1 8B Code v1 RU,Meta,509998284202.0,High
127,Llama 3.1 70B Code v1 RU,Meta,509998273941.0,High
128,Llama 3.1 405B Code v1 RU,Meta,509998258680.0,High
129,Llama 3.2 1B Code v1 RU,Meta,509998243419.0,High
130,Llama 3.2 3B Code v1 RU,Meta,509998228158.0,High
131,Llama 3.2 11B-Vision Code v1 RU,Meta,509998212897.0,High
132,Llama 3.2 90B-Vision Code v1 RU,Meta,509998197636.0,High
133,Llama 3.3 70B Code v1 RU,Meta,509998187375.0,High
134,Llama 4 Scout Code v1 RU,Meta,509998172114.0,High
135,Llama 4 Scout 109B Code v1 RU,Meta,509998156853.0,High
136,Llama 4 Maverick 400B Code v1 RU,Meta,509998141592.0,High
137,Code Llama 7B Code v1 RU,Meta,509998126331.0,High
138,Code Llama 13B Code v1 IT,Meta,509998111070.0,High
139,Code Llama 34B Code v1 IT,Meta,509998095809.0,High
140,Code Llama 70B Code v1 IT,Meta,509998085548.0,High
141,Code Llama Python 7B Code v1 IT,Meta,509998070287.0,High
142,Code Llama Python 13B Code v1 IT,Meta,509998055026.0,High
143,Code Llama Python 34B Code v1 IT,Meta,509998039765.0,High
144,Code Llama Instruct 7B Code v1 IT,Meta,509998024504.0,High
145,Code Llama Instruct 13B Code v1 IT,Meta,509998009243.0,High
146,Code Llama Instruct 34B Code v1 IT,Meta,509997998982.0,High
147,Code Llama Instruct 70B Code v1 IT,Meta,509997983721.0,High
148,Gemma 2B Code v1 IT,Google,509997968460.0,High
149,Gemma 7B Code v1 IT,Google,509997953199.0,High
150,Gemma 2 2B Code v1 IT,Google,509997937938.0,High
151,Gemma 2 9B Code v1 NL,Google,509997922677.0,High
152,Gemma 2 27B Code v1 NL,Google,509997907416.0,High
153,Gemma 3 1B Code v1 NL,Google,509997897155.0,High
154,Gemma 3 4B Code v1 NL,Google,509997881894.0,High
155,Gemma 3 12B Code v1 NL,Google,509997866633.0,High
156,Gemma 3 27B Code v1 NL,Google,509997851372.0,High
157,Gemma 3n E2B Code v1 NL,Google,509997836111.0,High
158,Gemma 3n E4B Code v1 NL,Google,509997820850.0,High
159,CodeGemma 2B Code v1 NL,Google,509997805589.0,High
160,CodeGemma 7B Code v1 NL,Google,509997795328.0,High
161,PaLM 2 Code v1 NL,Google,509997780067.0,High
162,PaLM 2 Codey Code v1 NL,Google,509997764806.0,High
163,Bard (LaMDA) Code v1 NL,Google,509997749545.0,High
164,Bard (PaLM 2) Code v1 PL,Google,509997734284.0,High
165,Gemini 1.0 Pro Code v1 PL,Google,509997719023.0,High
166,Gemini 1.0 Ultra Code v1 PL,Google,509997708762.0,High
167,Gemini 1.5 Flash Code v1 PL,Google,509997693501.0,High
168,Gemini 1.5 Flash-8B Code v1 PL,Google,509997678240.0,High
169,Gemini 1.5 Pro Code v1 PL,Google,509997662979.0,High
170,Gemini 2.0 Flash Code v1 PL,Google,509997647718.0,High
171,Gemini 2.0 Flash-Lite Code v1 PL,Google,509997632457.0,High
172,Gemini 2.0 Pro Code v1 PL,Google,509997617196.0,High
173,Gemini 2.5 Flash Code v1 PL,Google,509997606935.0,High
174,Gemini 2.5 Flash-Lite Code v1 PL,Google,509997591674.0,High
175,Gemini 2.5 Deep Think Code v1 PL,Google,509997576413.0,High
176,Gemini 3 Deep Think Code v1 PL,Google,509997561152.0,High
177,Mistral 7B v0.1 Code v1 TR,Mistral,509997545891.0,High
178,Mistral 7B v0.2 Code v1 TR,Mistral,509997530630.0,High
179,Mistral 7B v0.3 Code v1 TR,Mistral,509997520369.0,High
180,Mixtral 8x7B v0.1 Code v1 TR,Mistral,509997505108.0,High
181,Mixtral 8x22B Code v1 TR,Mistral,509997489847.0,High
182,Mistral Small 8B Code v1 TR,Mistral,509997474586.0,High
183,Mistral Small 22B Code v1 TR,Mistral,509997459325.0,High
184,Mistral Small 3.1 24B Code v1 TR,Mistral,509997444064.0,High
185,Mistral Medium 2024 Code v1 TR,Mistral,509997428803.0,High
186,Mistral Medium 3 Code v1 TR,Mistral,509997418542.0,High
187,Mistral Large 2024 Code v1 TR,Mistral,509997403281.0,High
188,Mistral Large 2 (123B) Code v1 TR,Mistral,509997388020.0,High
189,Mistral Large 3 (41B) Code v1 TR,Mistral,509997372759.0,High
190,Codestral 22B Code v1 KO,Mistral,509997357498.0,High
191,Codestral Mamba 7B Code v1 KO,Mistral,509997342237.0,High
192,Codestral 25.01 Code v1 KO,Mistral,509997331976.0,High
193,Devstral Small 24B Code v1 KO,Mistral,509997316715.0,High
194,Devstral Medium Code v1 KO,Mistral,509997301454.0,High
195,Mathstral 7B Code v1 KO,Mistral,509997286193.0,High
196,Pixtral 12B Code v1 KO,Mistral,509997270932.0,High
197,Magistral Small Code v1 KO,Mistral,509997255671.0,High
198,Magistral Medium Code v1 KO,Mistral,509997240410.0,High
199,Mistral NeMo 12B Code v1 KO,Mistral,509997230149.0,High
200,Mixtral 8x7B Instruct Code v1 KO,Mistral,509997214888.0,High
201,Mistral 7B Instruct v0.2 Code v1 KO,Mistral,509997199627.0,High
202,Phi-1 Code v1 KO,Microsoft,509997184366.0,High
203,Phi-1.5 Code v1 SV,Microsoft,509997169105.0,High
204,Phi-2 Code v1 SV,Microsoft,509997153844.0,High
205,Phi-3 mini 3.8B Code v1 SV,Microsoft,509997138583.0,High
206,Phi-3 small 7B Code v1 SV,Microsoft,509997128322.0,High
207,Phi-3 medium 14B Code v1 SV,Microsoft,509997113061.0,High
208,Phi-3.5 mini Code v1 SV,Microsoft,509997097800.0,High
209,Phi-3.5 MoE Code v1 SV,Microsoft,509997082539.0,High
210,Phi-3.5 Vision Code v1 SV,Microsoft,509997067278.0,High
211,Phi-4 14B Code v1 SV,Microsoft,509997052017.0,High
212,Phi-4 mini Code v1 SV,Microsoft,509997041756.0,High
213,Phi-4 multimodal Code v1 SV,Microsoft,509997026495.0,High
214,Phi-4 reasoning Code v1 SV,Microsoft,509997011234.0,High
215,Phi-4 reasoning+ Code v1 SV,Microsoft,509996995973.0,High
216,WizardLM 7B Code v1 NO,Microsoft,509996980712.0,High
217,WizardLM 13B Code v1 NO,Microsoft,509996965451.0,High
218,WizardLM 70B Code v1 NO,Microsoft,509996950190.0,High
219,WizardCoder 15B Code v1 NO,Microsoft,509996939929.0,High
220,WizardCoder 33B Code v1 NO,Microsoft,509996924668.0,High
221,WizardCoder Python 7B Code v1 NO,Microsoft,509996909407.0,High
222,WizardCoder Python 13B Code v1 NO,Microsoft,509996894146.0,High
223,WizardCoder Python 34B Code v1 NO,Microsoft,509996878885.0,High
224,Orca 7B Code v1 NO,Microsoft,509996863624.0,High
225,Orca 13B Code v1 NO,Microsoft,509996853363.0,High
226,Orca 2 7B Code v1 NO,Microsoft,509996838102.0,High
227,Orca 2 13B Code v1 NO,Microsoft,509996822841.0,High
228,StarCoder 1B Code v1 NO,BigCode/Salesforce,509996807580.0,High
229,StarCoder 3B Code v1 DA,BigCode/Salesforce,509996792319.0,High
230,StarCoder 7B Code v1 DA,BigCode/Salesforce,509996777058.0,High
231,StarCoder 15.5B Code v1 DA,BigCode/Salesforce,509996761797.0,High
232,StarCoder2 3B Code v1 DA,BigCode/Salesforce,509996751536.0,High
233,StarCoder2 7B Code v1 DA,BigCode/Salesforce,509996736275.0,High
234,StarCoder2 15B Code v1 DA,BigCode/Salesforce,509996721014.0,High
235,StarCoderBase 1B Code v1 DA,BigCode/Salesforce,509996705753.0,High
236,StarCoderBase 3B Code v1 DA,BigCode/Salesforce,509996690492.0,High
237,StarCoderBase 7B Code v1 DA,BigCode/Salesforce,509996675231.0,High
238,StarCoderBase 15.5B Code v1 DA,BigCode/Salesforce,509996664970.0,High
239,SantaCoder 1.1B Code v1 DA,BigCode/Salesforce,509996649709.0,High
240,CodeGen 350M Code v1 DA,BigCode/Salesforce,509996634448.0,High
241,CodeGen 2B Code v1 DA,BigCode/Salesforce,509996619187.0,High
242,CodeGen 6B Code v1 FI,BigCode/Salesforce,509996603926.0,High
243,CodeGen 16B Code v1 FI,BigCode/Salesforce,509996588665.0,High
244,CodeGen2 1B Code v1 FI,BigCode/Salesforce,509996573404.0,High
245,CodeGen2 3.7B Code v1 FI,BigCode/Salesforce,509996563143.0,High
246,CodeGen2 7B Code v1 FI,BigCode/Salesforce,509996547882.0,High
247,CodeGen2 16B Code v1 FI,BigCode/Salesforce,509996532621.0,High
248,CodeT5 60M Code v1 FI,BigCode/Salesforce,509996517360.0,High
249,CodeT5 220M Code v1 FI,BigCode/Salesforce,509996502099.0,High
250,CodeT5 770M Code v1 FI,BigCode/Salesforce,509996486838.0,High
251,CodeT5+ 220M Code v1 FI,BigCode/Salesforce,509996471577.0,High
252,CodeT5+ 770M Code v1 FI,BigCode/Salesforce,509996461316.0,High
253,CodeT5+ 2B Code v1 FI,BigCode/Salesforce,509996446055.0,High
254,CodeT5+ 6B Code v1 FI,BigCode/Salesforce,509996430794.0,High
255,CodeT5+ 16B Code v1 CS,BigCode/Salesforce,509996415533.0,High
256,CodeBERT base Code v1 CS,BigCode/Salesforce,509996400272.0,High
257,GraphCodeBERT Code v1 CS,BigCode/Salesforce,509996385011.0,High
258,PLBART base Code v1 CS,BigCode/Salesforce,509996374750.0,High
259,PLBART large Code v1 CS,BigCode/Salesforce,509996359489.0,High
260,CodeReviewer Code v1 CS,BigCode/Salesforce,509996344228.0,High
261,CodeRetriever Code v1 CS,BigCode/Salesforce,509996328967.0,High
262,DeepSeek Coder 1.3B Code v1 CS,DeepSeek,509996313706.0,High
263,DeepSeek Coder 6.7B Code v1 CS,DeepSeek,509996298445.0,High
264,DeepSeek Coder 33B Code v1 CS,DeepSeek,509996283184.0,High
265,DeepSeek Coder V2 16B Code v1 CS,DeepSeek,509996272923.0,High
266,DeepSeek Coder V2 236B Code v1 CS,DeepSeek,509996257662.0,High
267,DeepSeek LLM 7B Code v1 CS,DeepSeek,509996242401.0,High
268,DeepSeek LLM 67B Code v1 EL,DeepSeek,509996227140.0,High
269,DeepSeek Math 7B Code v1 EL,DeepSeek,509996211879.0,High
270,DeepSeek V2 Code v1 EL,DeepSeek,509996196618.0,High
271,DeepSeek V2.5 Code v1 EL,DeepSeek,509996186357.0,High
272,DeepSeek V3 Code v1 EL,DeepSeek,509996171096.0,High
273,DeepSeek R1-Distill Qwen 1.5B Code v1 EL,DeepSeek,509996155835.0,High
274,DeepSeek R1-Distill Qwen 7B Code v1 EL,DeepSeek,509996140574.0,High
275,DeepSeek R1-Distill Qwen 14B Code v1 EL,DeepSeek,509996125313.0,High
276,DeepSeek R1-Distill Qwen 32B Code v1 EL,DeepSeek,509996110052.0,High
277,DeepSeek R1-Distill Llama 8B Code v1 EL,DeepSeek,509996094791.0,High
278,DeepSeek R1-Distill Llama 70B Code v1 EL,DeepSeek,509996084530.0,High
279,DeepSeek Janus Pro 7B Code v1 EL,DeepSeek,509996069269.0,High
280,Codex 12B (code-davinci-002) Code v1 EL,OpenAI,509996054008.0,High
281,code-davinci-002 Code v1 HE,OpenAI,509996038747.0,High
282,code-cushman-001 Code v1 HE,OpenAI,509996023486.0,High
283,GPT-3.5 Turbo 0301 Code v1 HE,OpenAI,509996008225.0,High
284,GPT-3.5 Turbo 0613 Code v1 HE,OpenAI,509995997964.0,High
285,GPT-3.5 Turbo 1106 Code v1 HE,OpenAI,509995982703.0,High
286,GPT-3.5 Turbo 0125 Code v1 HE,OpenAI,509995967442.0,High
287,GPT-4 0314 Code v1 HE,OpenAI,509995952181.0,High
288,GPT-4 0613 Code v1 HE,OpenAI,509995936920.0,High
289,GPT-4 1106-preview Code v1 HE,OpenAI,509995921659.0,High
290,GPT-4 Turbo 0125 Code v1 HE,OpenAI,509995906398.0,High
291,GPT-4 Turbo 0409 Code v1 HE,OpenAI,509995896137.0,High
292,GPT-4o 2024-05-13 Code v1 HE,OpenAI,509995880876.0,High
293,GPT-4o 2024-08-06 Code v1 HE,OpenAI,509995865615.0,High
294,GPT-4o 2024-11-20 Code v1 TH,OpenAI,509995850354.0,High
295,GPT-4o mini 2024-07-18 Code v1 TH,OpenAI,509995835093.0,High
296,GPT-4.1 mini Code v1 TH,OpenAI,509995819832.0,High
297,GPT-4.1 nano Code v1 TH,OpenAI,509995804571.0,High
298,o1-mini Code v1 TH,OpenAI,509995794310.0,High
299,o1-preview Code v1 TH,OpenAI,509995779049.0,High
300,o1 Code v1 TH,OpenAI,509995763788.0,High
301,o3-mini Code v1 TH,OpenAI,509995748527.0,High
302,o3-mini-high Code v1 TH,OpenAI,509995733266.0,High
303,o4-mini Code v1 TH,OpenAI,509995718005.0,High
304,GPT-4.5 Orion Code v1 TH,OpenAI,509995707744.0,High
305,GPT-5 nano Code v1 TH,OpenAI,509995692483.0,High
306,GPT-5 Codex mini Code v1 TH,OpenAI,509995677222.0,High
307,GPT-5.1 Code v1 VI,OpenAI,509995661961.0,High
308,GPT-5.1 Codex Max Code v1 VI,OpenAI,509995646700.0,High
309,GPT-5.2 Code v1 VI,OpenAI,509995631439.0,High
310,GPT-5.3 Code v1 VI,OpenAI,509995616178.0,High
311,GPT-5.4 Code v1 VI,OpenAI,509995605917.0,High
312,Codex CLI 2025 Code v1 VI,OpenAI,509995590656.0,High
313,Codex mini Code v1 VI,OpenAI,509995575395.0,High
314,Claude Instant 1.2 Code v1 VI,Anthropic,509995560134.0,High
315,Claude 1 Code v1 VI,Anthropic,509995544873.0,High
316,Claude 2.0 Code v1 VI,Anthropic,509995529612.0,High
317,Claude 2.1 Code v1 VI,Anthropic,509995519351.0,High
318,Claude 3 Haiku Code v1 VI,Anthropic,509995504090.0,High
319,Claude 3 Sonnet Code v1 VI,Anthropic,509995488829.0,High
320,Claude 3 Opus Code v1 DE,Anthropic,509995473568.0,High
321,Claude 3.5 Sonnet 2024-06-20 Code v1 DE,Anthropic,509995458307.0,High
322,Claude 3.5 Sonnet 2024-10-22 Code v1 DE,Anthropic,509995443046.0,High
323,Claude 3.5 Haiku Code v1 DE,Anthropic,509995427785.0,High
324,Claude 3.7 Sonnet Code v1 DE,Anthropic,509995417524.0,High
325,Claude 4 Sonnet Code v1 DE,Anthropic,509995402263.0,High
326,Claude 4 Opus Code v1 DE,Anthropic,509995387002.0,High
327,Claude 4.1 Opus Code v1 DE,Anthropic,509995371741.0,High
328,Claude 4.1 Sonnet Code v1 DE,Anthropic,509995356480.0,High
329,Claude Haiku 3.5 Code v1 DE,Anthropic,509995341219.0,High
330,Claude Sonnet 4.6 Code v1 DE,Anthropic,509995330958.0,High
331,Claude Haiku 4 Code v1 DE,Anthropic,509995315697.0,High
332,Claude Agent SDK Sonnet Code v1 DE,Anthropic,509995300436.0,High
333,Grok-1 Code v1 EN,xAI,509995285175.0,High
334,Grok-1.5 Code v1 EN,xAI,509995269914.0,High
335,Grok-1.5V Code v1 EN,xAI,509995254653.0,High
336,Grok-2 Code v1 EN,xAI,509995239392.0,High
337,Grok-2 mini Code v1 EN,xAI,509995229131.0,High
338,Grok-3 Code v1 EN,xAI,509995213870.0,High
339,Grok-3 mini Code v1 EN,xAI,509995198609.0,High
340,Grok-4 Code v1 EN,xAI,509995183348.0,High
341,Grok-4 Heavy Code v1 EN,xAI,509995168087.0,High
342,Grok-4.1 Code v1 EN,xAI,509995152826.0,High
343,Grok Code Fast Code v1 EN,xAI,509995137565.0,High
344,Grok Build 0.1 Code v1 EN,xAI,509995127304.0,High
345,"Aurora (Grok image, code-adjacent) Code v1 EN",xAI,509995112043.0,High
346,GLM-4 Code v1 FR,China-Labs,509995096782.0,High
347,GLM-4 Air Code v1 FR,China-Labs,509995081521.0,High
348,GLM-4 Flash Code v1 FR,China-Labs,509995066260.0,High
349,GLM-4 Plus Code v1 FR,China-Labs,509995050999.0,High
350,GLM-4.5 Code v1 FR,China-Labs,509995040738.0,High
351,GLM-4.5 Air Code v1 FR,China-Labs,509995025477.0,High
352,GLM-4.6 Code v1 FR,China-Labs,509995010216.0,High
353,GLM-5 Code v1 FR,China-Labs,509994994955.0,High
354,GLM-5.2 Code v1 FR,China-Labs,509994979694.0,High
355,GLM Coding Plan Code v1 FR,China-Labs,509994964433.0,High
356,CodeGeeX 6B Code v1 FR,China-Labs,509994949172.0,High
357,CodeGeeX2 6B Code v1 FR,China-Labs,509994938911.0,High
358,CodeGeeX4 9B Code v1 FR,China-Labs,509994923650.0,High
359,Kimi K1.5 Code v1 ES,China-Labs,509994908389.0,High
360,Kimi K2 1T Code v1 ES,China-Labs,509994893128.0,High
361,Kimi K2 0905 Code v1 ES,China-Labs,509994877867.0,High
362,MiniMax M1 Code v1 ES,China-Labs,509994862606.0,High
363,MiniMax M2 Code v1 ES,China-Labs,509994852345.0,High
364,MiniMax M2.1 Code v1 ES,China-Labs,509994837084.0,High
365,MiniMax Text-01 Code v1 ES,China-Labs,509994821823.0,High
366,MiniMax 01 Code v1 ES,China-Labs,509994806562.0,High
367,Nemotron 4 15B Code v1 ES,NVIDIA,509994791301.0,High
368,Nemotron 4 340B Code v1 ES,NVIDIA,509994776040.0,High
369,Nemotron 70B Code v1 ES,NVIDIA,509994760779.0,High
370,Nemotron Nano 8B Code v1 ES,NVIDIA,509994750518.0,High
371,Nemotron Ultra 253B Code v1 ES,NVIDIA,509994735257.0,High
372,Nemotron 3 Nano 30B Code v1 ZH,NVIDIA,509994719996.0,High
373,Nemotron 3 Super 49B Code v1 ZH,NVIDIA,509994704735.0,High
374,Nemotron 3 Ultra 253B Code v1 ZH,NVIDIA,509994689474.0,High
375,Nemotron 4 Mini Hindi 4B Code v1 ZH,NVIDIA,509994674213.0,High
376,CodeGemma-NV Code v1 ZH,NVIDIA,509994663952.0,High
377,NVLM 72B Code v1 ZH,NVIDIA,509994648691.0,High
378,StarCoder2 15B-NV Code v1 ZH,NVIDIA,509994633430.0,High
379,Llama 3.1 Nemotron 8B Code v1 ZH,NVIDIA,509994618169.0,High
380,Llama 3.1 Nemotron 70B Code v1 ZH,NVIDIA,509994602908.0,High
381,Llama 3.1 Nemotron Ultra 253B Code v1 ZH,NVIDIA,509994587647.0,High
382,Nemotron-CC Code v1 ZH,NVIDIA,509994572386.0,High
383,Nemotron-PAR Code v1 ZH,NVIDIA,509994562125.0,High
384,Granite 3B Code Code v1 ZH,IBM,509994546864.0,High
385,Granite 8B Code Code v1 JA,IBM,509994531603.0,High
386,Granite 20B Code Code v1 JA,IBM,509994516342.0,High
387,Granite 34B Code Code v1 JA,IBM,509994501081.0,High
388,Granite 3.0 2B Code v1 JA,IBM,509994485820.0,High
389,Granite 3.0 8B Code v1 JA,IBM,509994470559.0,High
390,Granite 3.1 2B Code v1 JA,IBM,509994460298.0,High
391,Granite 3.1 8B Code v1 JA,IBM,509994445037.0,High
392,Granite 3.2 2B Code v1 JA,IBM,509994429776.0,High
393,Granite 3.2 8B Code v1 JA,IBM,509994414515.0,High
394,Granite 3.3 2B Code v1 JA,IBM,509994399254.0,High
395,Granite 4.0 Micro Code v1 JA,IBM,509994383993.0,High
396,Granite 4.0 Small Code v1 JA,IBM,509994373732.0,High
